Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
5, 15, 993, 56, 0, 0, 0, 
5, 18, 1031, 4, 0, 0, 0, 
5, 24, 1045, 7, 0, 0, 0, 
5, 27, 1025, 3, 0, 0, 0, 
5, 28, 1037, 0, 0, 0, 0, 
5, 30, 998, 1, 0, 0, 0, 
5, 30, 1024, 8, 0, 0, 0, 
5, 35, 1009, 4, 0, 0, 0, 
5, 35, 1060, 2, 0, 0, 0, 
5, 37, 992, 1, 0, 0, 0, 
5, 41, 977, 1, 0, 0, 0, 
5, 42, 1019, 9, 0, 0, 0, 
5, 42, 1051, 4, 0, 0, 0, 
5, 43, 988, 3, 0, 0, 0, 
5, 43, 1079, 3, 0, 0, 0, 
5, 46, 1077, 13, 0, 0, 0, 
5, 48, 1027, 4, 0, 0, 0, 
5, 49, 1026, 3, 0, 0, 0, 
5, 49, 1084, 1, 0, 0, 0, 
5, 52, 1077, 14, 0, 0, 0, 
5, 53, 1046, 2, 0, 0, 0, 
5, 53, 1049, 0, 0, 0, 0, 
5, 58, 1059, 3, 0, 0, 0, 
5, 59, 1002, 2, 0, 0, 0, 
5, 59, 1008, 3, 0, 0, 0, 
5, 60, 1049, 0, 0, 0, 0, 
5, 60, 1093, 1, 0, 0, 0, 
5, 60, 1102, 8, 0, 0, 0, 
5, 61, 996, 3, 0, 0, 0, 
5, 61, 1027, 3, 0, 0, 0, 
5, 64, 1027, 1, 0, 0, 0, 
5, 64, 1047, 2, 0, 0, 0, 
5, 65, 1065, 9, 0, 0, 0, 
5, 66, 1010, 1, 0, 0, 0, 
5, 66, 1024, 0, 0, 0, 0, 
5, 66, 1033, 4, 0, 0, 0, 
5, 67, 1005, 1, 0, 0, 0, 
5, 67, 1039, 0, 0, 0, 0, 
5, 67, 1047, 0, 0, 0, 0, 
5, 68, 1017, 0, 0, 0, 0, 
5, 71, 1098, 14, 0, 0, 0, 
5, 73, 1004, 0, 0, 0, 0, 
5, 74, 1027, 0, 0, 0, 0, 
5, 75, 1010, 0, 0, 0, 0, 
5, 75, 1070, 4, 0, 0, 0, 
5, 76, 1006, 1, 0, 0, 0, 
5, 77, 1044, 1, 1, 1, 4, 
5, 78, 1004, 5, 0, 0, 0, 
5, 78, 1025, 3, 0, 0, 0, 
5, 78, 1080, 10, 0, 0, 0, 
5, 79, 1041, 0, 0, 0, 0, 
5, 79, 1060, 1, 0, 0, 0, 
5, 79, 1069, 3, 0, 0, 0, 
5, 79, 1106, 3, 0, 0, 0, 
5, 80, 997, 0, 0, 0, 0, 
5, 80, 1035, 0, 0, 0, 0, 
5, 81, 1099, 0, 0, 0, 0, 
5, 83, 1050, 2, 0, 0, 0, 
5, 84, 1049, 0, 0, 0, 0, 
5, 84, 1145, 6, 0, 0, 0, 
5, 86, 1000, 0, 0, 0, 0, 
5, 86, 1024, 0, 0, 0, 0, 
5, 86, 1095, 9, 0, 0, 0, 
5, 86, 1119, 2, 0, 0, 0, 
5, 86, 1146, 4, 0, 0, 0, 
5, 87, 995, 3, 0, 0, 0, 
5, 87, 1048, 0, 0, 0, 0, 
5, 87, 1076, 1, 0, 0, 0, 
5, 88, 982, 9, 0, 0, 0, 
5, 88, 993, 0, 0, 0, 0, 
5, 88, 1033, 2, 0, 0, 0, 
5, 88, 1054, 0, 0, 0, 0, 
5, 88, 1090, 1, 0, 0, 0, 
5, 88, 1146, 5, 0, 0, 0, 
5, 89, 1058, 0, 0, 0, 0, 
5, 90, 1006, 0, 0, 0, 0, 
5, 90, 1091, 2, 0, 0, 0, 
5, 91, 993, 6, 0, 0, 0, 
5, 91, 1045, 1, 0, 0, 0, 
5, 91, 1089, 0, 0, 0, 0, 
5, 92, 1025, 1, 0, 0, 0, 
5, 92, 1058, 0, 0, 0, 0, 
5, 92, 1106, 7, 0, 0, 0, 
5, 93, 1029, 0, 0, 0, 0, 
5, 93, 1145, 12, 0, 0, 0, 
5, 94, 997, 1, 0, 0, 0, 
5, 94, 1142, 16, 0, 0, 0, 
5, 95, 1071, 1, 0, 0, 0, 
5, 95, 1084, 0, 0, 0, 0, 
5, 95, 1125, 8, 0, 0, 0, 
5, 96, 1051, 0, 0, 0, 0, 
5, 96, 1057, 2, 0, 0, 0, 
5, 96, 1067, 0, 0, 0, 0, 
5, 96, 1119, 6, 0, 0, 0, 
5, 96, 1141, 5, 0, 0, 0, 
5, 97, 1162, 22, 0, 0, 0, 
5, 98, 1050, 0, 0, 0, 0, 
5, 98, 1075, 0, 0, 0, 0, 
5, 99, 1003, 2, 0, 0, 0, 
5, 100, 1050, 0, 0, 0, 0, 
5, 100, 1055, 0, 0, 0, 0, 
5, 100, 1056, 0, 0, 0, 0, 
5, 100, 1090, 0, 0, 0, 0, 
5, 101, 1054, 0, 0, 0, 0, 
5, 101, 1062, 1, 0, 0, 0, 
5, 101, 1091, 0, 0, 0, 0, 
5, 101, 1123, 0, 0, 0, 0, 
5, 102, 1050, 1, 0, 0, 0, 
5, 103, 990, 4, 0, 0, 0, 
5, 103, 1005, 5, 0, 0, 0, 
5, 103, 1057, 1, 0, 0, 0, 
5, 103, 1105, 11, 0, 0, 0, 
5, 104, 1006, 0, 0, 0, 0, 
5, 104, 1044, 0, 0, 0, 0, 
5, 104, 1046, 0, 0, 0, 0, 
5, 104, 1053, 0, 0, 0, 0, 
5, 104, 1087, 0, 0, 0, 0, 
5, 105, 975, 2, 0, 0, 0, 
5, 105, 982, 3, 0, 0, 0, 
5, 105, 1018, 2, 0, 0, 0, 
5, 105, 1070, 0, 0, 0, 0, 
5, 105, 1131, 10, 0, 0, 0, 
5, 106, 984, 0, 0, 0, 0, 
5, 106, 1032, 2, 0, 0, 0, 
5, 107, 980, 2, 0, 0, 0, 
5, 107, 1013, 5, 0, 0, 0, 
5, 107, 1031, 1, 0, 0, 0, 
5, 107, 1050, 0, 0, 0, 0, 
5, 108, 1026, 0, 0, 0, 0, 
5, 108, 1028, 2, 0, 0, 0, 
5, 108, 1066, 1, 0, 0, 0, 
5, 109, 1050, 2, 0, 0, 0, 
5, 109, 1061, 0, 0, 0, 0, 
5, 109, 1089, 0, 0, 0, 0, 
5, 110, 1033, 1, 0, 0, 0, 
5, 110, 1037, 0, 0, 0, 0, 
5, 110, 1052, 0, 0, 0, 0, 
5, 111, 981, 3, 0, 0, 0, 
5, 111, 1003, 1, 0, 0, 0, 
5, 111, 1026, 2, 0, 0, 0, 
5, 111, 1090, 2, 0, 0, 0, 
5, 111, 1141, 3, 0, 0, 0, 
5, 112, 1020, 0, 0, 0, 0, 
5, 112, 1047, 1, 0, 0, 0, 
5, 113, 983, 4, 4, 16, 5, 
5, 113, 1008, 1, 0, 0, 0, 
5, 113, 1035, 1, 0, 0, 0, 
5, 113, 1051, 0, 0, 0, 0, 
5, 113, 1083, 2, 0, 0, 0, 
5, 114, 962, 2, 0, 0, 0, 
5, 114, 984, 3, 0, 0, 0, 
5, 114, 994, 8, 0, 0, 0, 
5, 114, 1014, 1, 0, 0, 0, 
5, 114, 1055, 0, 0, 0, 0, 
5, 114, 1071, 0, 0, 0, 0, 
5, 114, 1088, 0, 0, 0, 0, 
5, 114, 1107, 0, 0, 0, 0, 
5, 114, 1145, 11, 0, 0, 0, 
5, 115, 1005, 1, 0, 0, 0, 
5, 115, 1072, 1, 0, 0, 0, 
5, 115, 1116, 0, 0, 0, 0, 
5, 116, 996, 1, 0, 0, 0, 
5, 116, 1006, 1, 0, 0, 0, 
5, 116, 1074, 0, 0, 0, 0, 
5, 116, 1126, 0, 0, 0, 0, 
5, 117, 1005, 2, 0, 0, 0, 
5, 117, 1074, 0, 0, 0, 0, 
5, 117, 1099, 0, 0, 0, 0, 
5, 117, 1123, 0, 0, 0, 0, 
5, 117, 1125, 0, 0, 0, 0, 
5, 118, 1049, 0, 0, 0, 0, 
5, 118, 1066, 1, 0, 0, 0, 
5, 119, 984, 2, 0, 0, 0, 
5, 119, 996, 0, 0, 0, 0, 
5, 119, 1138, 0, 0, 0, 0, 
5, 120, 1010, 2, 0, 0, 0, 
5, 120, 1060, 2, 2, 2, 5, 
5, 120, 1062, 3, 0, 0, 0, 
5, 120, 1125, 2, 0, 0, 0, 
5, 121, 1071, 5, 0, 0, 0, 
5, 121, 1076, 0, 0, 0, 0, 
5, 121, 1124, 2, 0, 0, 0, 
5, 122, 976, 4, 0, 0, 0, 
5, 122, 1063, 0, 0, 0, 0, 
5, 122, 1086, 0, 0, 0, 0, 
5, 122, 1088, 1, 0, 0, 0, 
5, 122, 1094, 1, 0, 0, 0, 
5, 122, 1118, 1, 0, 0, 0, 
5, 122, 1123, 6, 0, 0, 0, 
5, 123, 1020, 0, 0, 0, 0, 
5, 123, 1022, 0, 0, 0, 0, 
5, 123, 1040, 1, 0, 0, 0, 
5, 123, 1125, 3, 0, 0, 0, 
5, 124, 981, 2, 0, 0, 0, 
5, 124, 996, 1, 0, 0, 0, 
5, 124, 1000, 6, 0, 0, 0, 
5, 124, 1024, 1, 0, 0, 0, 
5, 124, 1029, 1, 0, 0, 0, 
5, 124, 1040, 0, 0, 0, 0, 
5, 124, 1053, 2, 0, 0, 0, 
5, 124, 1085, 1, 0, 0, 0, 
5, 124, 1093, 0, 0, 0, 0, 
5, 124, 1099, 0, 0, 0, 0, 
5, 125, 1013, 1, 0, 0, 0, 
5, 125, 1039, 2, 0, 0, 0, 
5, 126, 1059, 1, 0, 0, 0, 
